TYPECOM;COM;REG;DEP;CTCD;ARR;TNCC;Centralité_code;Centralité_nom;NCC;NCCENR;LIBELLE;CAN;COMPARENT
COM;76540;28;76;76D;763;0;1;Centralité métropolitaine;ROUEN;Rouen;Rouen;;
COM;76231;28;76;76D;763;1;2;Centralité structurante;ELBEUF;Elbeuf;Elbeuf;;
COM;76108;28;76;76D;763;0;3;Centralité urbaine;BOIS GUILLAUME;Bois-Guillaume;Bois-Guillaume;;
COM;76157;28;76;76D;763;0;3;Centralité urbaine;CANTELEU;Canteleu;Canteleu;;
COM;76212;28;76;76D;763;0;3;Centralité urbaine;DARNETAL;DarnÃĐtal;DarnÃĐtal;;
COM;76322;28;76;76D;763;2;3;Centralité urbaine;GRAND QUEVILLY;Grand-Quevilly;Le Grand-Quevilly;;
COM;76410;28;76;76D;763;0;3;Centralité urbaine;MAROMME;Maromme;Maromme;;
COM;76429;28;76;76D;763;2;3;Centralité urbaine;MESNIL ESNARD;Mesnil-Esnard;Le Mesnil-Esnard;;
COM;76451;28;76;76D;763;0;3;Centralité urbaine;MONT SAINT AIGNAN;Mont-Saint-Aignan;Mont-Saint-Aignan;;
COM;76498;28;76;76D;763;2;3;Centralité urbaine;PETIT QUEVILLY;Petit-Quevilly;Le Petit-Quevilly;;
COM;76575;28;76;76D;763;0;3;Centralité urbaine;SAINT ETIENNE DU ROUVRAY;Saint-Ãtienne-du-Rouvray;Saint-Ãtienne-du-Rouvray;;
COM;76681;28;76;76D;763;0;3;Centralité urbaine;SOTTEVILLE LES ROUEN;Sotteville-lÃĻs-Rouen;Sotteville-lÃĻs-Rouen;;
COM;76095;28;76;76D;763;0;4;Centralité relais;BIHOREL;Bihorel;Bihorel;7602;
COM;76216;28;76;76D;763;0;4;Centralité relais;DEVILLE LES ROUEN;DÃĐville-lÃĻs-Rouen;DÃĐville-lÃĻs-Rouen;;
COM;76222;28;76;76D;763;0;4;Centralité relais;DUCLAIR;Duclair;Duclair;;
COM;76377;28;76;76D;763;1;4;Centralité relais;ISNEAUVILLE;Isneauville;Isneauville;;
COM;76402;28;76;76D;763;0;4;Centralité relais;MALAUNAY;Malaunay;Malaunay;;
COM;76484;28;76;76D;763;1;4;Centralité relais;OISSEL SUR SEINE;Oissel-sur-Seine;Oissel-sur-Seine;;
COM;76709;28;76;76D;763;2;4;Centralité relais;TRAIT;Trait;Le Trait;;
COM;76103;28;76;76D;763;0;5;Centralité d'appui;BONSECOURS;Bonsecours;Bonsecours;;
COM;76116;28;76;76D;763;0;5;Centralité d'appui;BOOS;Boos;Boos;;
COM;76165;28;76;76D;763;0;5;Centralité d'appui;CAUDEBEC LES ELBEUF;Caudebec-lÃĻs-Elbeuf;Caudebec-lÃĻs-Elbeuf;;
COM;76475;28;76;76D;763;0;5;Centralité d'appui;FRANQUEVILLE SAINT PIERRE;Franqueville-Saint-Pierre;Franqueville-Saint-Pierre;;
COM;76319;28;76;76D;763;0;5;Centralité d'appui;GRAND COURONNE;Grand-Couronne;Grand-Couronne;;
COM;76366;28;76;76D;763;2;5;Centralité d'appui;HOULME;Houlme;Le Houlme;;
COM;76474;28;76;76D;763;0;5;Centralité d'appui;NOTRE DAME DE BONDEVILLE;Notre-Dame-de-Bondeville;Notre-Dame-de-Bondeville;;
COM;76497;28;76;76D;763;0;5;Centralité d'appui;PETIT COURONNE;Petit-Couronne;Petit-Couronne;;
COM;76005;28;76;76D;763;1;6;Centralité de proximité;AMFREVILLE LA MI VOIE;Amfreville-la-Mi-Voie;Amfreville-la-Mi-Voie;;
COM;76020;28;76;76D;763;1;6;Centralité de proximité;ANNEVILLE AMBOURVILLE;Anneville-Ambourville;Anneville-Ambourville;;
COM;76131;28;76;76D;763;3;6;Centralité de proximité;BOUILLE;Bouille;La Bouille;;
COM;76178;28;76;76D;763;0;6;Centralité de proximité;CLEON;ClÃĐon;ClÃĐon;;
COM;76367;28;76;76D;763;0;6;Centralité de proximité;HOUPPEVILLE;Houppeville;Houppeville;;
COM;76378;28;76;76D;763;0;6;Centralité de proximité;JUMIEGES;JumiÃĻges;JumiÃĻges;;
COM;76391;28;76;76D;763;3;6;Centralité de proximité;LONDE;Londe;La Londe;;
COM;76514;28;76;76D;763;0;6;Centralité de proximité;QUEVREVILLE LA POTERIE;QuÃĐvreville-la-Poterie;QuÃĐvreville-la-Poterie;;
COM;76550;28;76;76D;763;0;6;Centralité de proximité;SAHURS;Sahurs;Sahurs;;
COM;76561;28;76;76D;763;0;6;Centralité de proximité;SAINT AUBIN LES ELBEUF;Saint-Aubin-lÃĻs-Elbeuf;Saint-Aubin-lÃĻs-Elbeuf;;
COM;76591;28;76;76D;763;0;6;Centralité de proximité;SAINT JACQUES SUR DARNETAL;Saint-Jacques-sur-DarnÃĐtal;Saint-Jacques-sur-DarnÃĐtal;;
COM;76599;28;76;76D;763;0;6;Centralité de proximité;SAINT LEGER DU BOURG DENIS;Saint-LÃĐger-du-Bourg-Denis;Saint-LÃĐger-du-Bourg-Denis;;
COM;76614;28;76;76D;763;0;6;Centralité de proximité;SAINT MARTIN DE BOSCHERVILLE;Saint-Martin-de-Boscherville;Saint-Martin-de-Boscherville;;
COM;76636;28;76;76D;763;0;6;Centralité de proximité;SAINT PIERRE DE VARENGEVILLE;Saint-Pierre-de-Varengeville;Saint-Pierre-de-Varengeville;;
COM;76640;28;76;76D;763;0;6;Centralité de proximité;SAINT PIERRE LES ELBEUF;Saint-Pierre-lÃĻs-Elbeuf;Saint-Pierre-lÃĻs-Elbeuf;;
COM;76608;28;76;76D;763;0;6;Centralité de proximité;SAINTE MARGUERITE SUR DUCLAIR;Sainte-Marguerite-sur-Duclair;Sainte-Marguerite-sur-Duclair;;
COM;76705;28;76;76D;763;0;6;Centralité de proximité;TOURVILLE LA RIVIERE;Tourville-la-RiviÃĻre;Tourville-la-RiviÃĻre;;
COM;76750;28;76;76D;763;1;6;Centralité de proximité;YAINVILLE;Yainville;Yainville;;
COM;76039;28;76;76D;763;4;7;Centre-bourg;AUTHIEUX SUR LE PORT SAINT OUEN;Authieux-sur-le-Port-Saint-Ouen;Les Authieux-sur-le-Port-Saint-Ouen;;
COM;76056;28;76;76D;763;0;7;Centre-bourg;BARDOUVILLE;Bardouville;Bardouville;;
COM;76069;28;76;76D;763;0;7;Centre-bourg;BELBEUF;Belbeuf;Belbeuf;;
COM;76088;28;76;76D;763;0;7;Centre-bourg;BERVILLE SUR SEINE;Berville-sur-Seine;Berville-sur-Seine;;
COM;76237;28;76;76D;763;1;7;Centre-bourg;EPINAY SUR DUCLAIR;Ãpinay-sur-Duclair;Ãpinay-sur-Duclair;;
COM;76273;28;76;76D;763;0;7;Centre-bourg;FONTAINE SOUS PREAUX;Fontaine-sous-PrÃĐaux;Fontaine-sous-PrÃĐaux;;
COM;76282;28;76;76D;763;0;7;Centre-bourg;FRENEUSE;Freneuse;Freneuse;;
COM;76313;28;76;76D;763;0;7;Centre-bourg;GOUY;Gouy;Gouy;;
COM;76350;28;76;76D;763;0;7;Centre-bourg;HAUTOT SUR SEINE;Hautot-sur-Seine;Hautot-sur-Seine;;
COM;76354;28;76;76D;763;1;7;Centre-bourg;HENOUVILLE;HÃĐnouville;HÃĐnouville;;
COM;76436;28;76;76D;763;2;7;Centre-bourg;MESNIL SOUS JUMIEGES;Mesnil-sous-JumiÃĻges;Le Mesnil-sous-JumiÃĻges;;
COM;76448;28;76;76D;763;0;7;Centre-bourg;MONTMAIN;Montmain;Montmain;;
COM;76457;28;76;76D;763;0;7;Centre-bourg;MOULINEAUX;Moulineaux;Moulineaux;;
COM;76464;28;76;76D;763;3;7;Centre-bourg;NEUVILLE CHANT D OISEL;Neuville-Chant-d'Oisel;La Neuville-Chant-d'Oisel;;
COM;76486;28;76;76D;763;1;7;Centre-bourg;ORIVAL;Orival;Orival;;
COM;76513;28;76;76D;763;0;7;Centre-bourg;QUEVILLON;Quevillon;Quevillon;;
COM;76536;28;76;76D;763;0;7;Centre-bourg;RONCHEROLLES SUR LE VIVIER;Roncherolles-sur-le-Vivier;Roncherolles-sur-le-Vivier;;
COM;76558;28;76;76D;763;0;7;Centre-bourg;SAINT AUBIN CELLOVILLE;Saint-Aubin-Celloville;Saint-Aubin-Celloville;;
COM;76560;28;76;76D;763;0;7;Centre-bourg;SAINT AUBIN EPINAY;Saint-Aubin-Ãpinay;Saint-Aubin-Ãpinay;;
COM;76617;28;76;76D;763;0;7;Centre-bourg;SAINT MARTIN DU VIVIER;Saint-Martin-du-Vivier;Saint-Martin-du-Vivier;;
COM;76631;28;76;76D;763;0;7;Centre-bourg;SAINT PAER;Saint-PaÃŦr;Saint-PaÃŦr;;
COM;76634;28;76;76D;763;0;7;Centre-bourg;SAINT PIERRE DE MANNEVILLE;Saint-Pierre-de-Manneville;Saint-Pierre-de-Manneville;;
COM;76682;28;76;76D;763;0;7;Centre-bourg;SOTTEVILLE SOUS LE VAL;Sotteville-sous-le-Val;Sotteville-sous-le-Val;;
COM;76717;28;76;76D;763;0;7;Centre-bourg;VAL DE LA HAYE;Val-de-la-Haye;Val-de-la-Haye;;
COM;76753;28;76;76D;763;1;7;Centre-bourg;YMARE;Ymare;Ymare;;
COM;76759;28;76;76D;763;1;7;Centre-bourg;YVILLE SUR SEINE;Yville-sur-Seine;Yville-sur-Seine;7601;0
